symbol,ctmString,open,close,high,low,vol,quoteId,datetime,rsiM1,signal
PLTR.US_9,"May 3, 2024, 6:13:00 PM",23.1,23.1,23.11,23.1,444.0,6,2024-05-03 18:13:00,,HOLD
PLTR.US_9,"May 3, 2024, 6:14:00 PM",23.1,23.08,23.1,23.08,556.0,6,2024-05-03 18:14:00,,HOLD
PLTR.US_9,"May 3, 2024, 6:15:00 PM",23.09,23.09,23.1,23.08,720.0,6,2024-05-03 18:15:00,,HOLD
PLTR.US_9,"May 3, 2024, 6:16:00 PM",23.09,23.1,23.1,23.08,555.0,6,2024-05-03 18:16:00,,HOLD
PLTR.US_9,"May 3, 2024, 6:17:00 PM",23.11,23.13,23.13,23.1,686.0,6,2024-05-03 18:17:00,,HOLD
PLTR.US_9,"May 3, 2024, 6:18:00 PM",23.13,23.12,23.14,23.11,591.0,6,2024-05-03 18:18:00,,HOLD
PLTR.US_9,"May 3, 2024, 6:19:00 PM",23.11,23.1,23.11,23.1,503.0,6,2024-05-03 18:19:00,,HOLD
PLTR.US_9,"May 3, 2024, 6:20:00 PM",23.09,23.11,23.11,23.09,536.0,6,2024-05-03 18:20:00,,HOLD
