symbol,ctmString,open,close,high,low,vol,quoteId,datetime,rsiM1,signal,signal_price
SMCI.US_9,"May 6, 2024, 7:10:00 PM",823.01,823.92,824.25,820.27,99.0,6,2024-05-06 19:10:00,,HOLD,
SMCI.US_9,"May 6, 2024, 7:11:00 PM",823.94,825.37,825.42,823.92,71.0,6,2024-05-06 19:11:00,,HOLD,
SMCI.US_9,"May 6, 2024, 7:12:00 PM",825.0,826.39,826.7,825.0,143.0,6,2024-05-06 19:12:00,,HOLD,
SMCI.US_9,"May 6, 2024, 7:13:00 PM",826.39,826.69,827.38,825.84,199.0,6,2024-05-06 19:13:00,,HOLD,
SMCI.US_9,"May 6, 2024, 7:14:00 PM",825.2,825.2,827.61,825.2,104.0,6,2024-05-06 19:14:00,,HOLD,
SMCI.US_9,"May 6, 2024, 7:15:00 PM",827.31,827.14,827.58,825.2,33.0,6,2024-05-06 19:15:00,,HOLD,
SMCI.US_9,"May 6, 2024, 7:16:00 PM",827.14,826.85,828.05,825.2,56.0,6,2024-05-06 19:16:00,,HOLD,
SMCI.US_9,"May 6, 2024, 7:17:00 PM",826.85,827.0,827.8,826.85,75.0,6,2024-05-06 19:17:00,,HOLD,
SMCI.US_9,"May 6, 2024, 7:18:00 PM",827.0,827.03,827.37,827.0,82.0,6,2024-05-06 19:18:00,,HOLD,
SMCI.US_9,"May 6, 2024, 7:19:00 PM",827.0,827.04,827.8,826.78,82.0,6,2024-05-06 19:19:00,,HOLD,
SMCI.US_9,"May 6, 2024, 7:20:00 PM",826.78,827.32,827.32,826.78,47.0,6,2024-05-06 19:20:00,,HOLD,
SMCI.US_9,"May 6, 2024, 7:21:00 PM",827.55,826.78,827.63,826.78,39.0,6,2024-05-06 19:21:00,63.780722614249036,HOLD,
SMCI.US_9,"May 6, 2024, 7:22:00 PM",827.11,825.2,827.11,825.2,37.0,6,2024-05-06 19:22:00,44.790049764489716,HOLD,
SMCI.US_9,"May 6, 2024, 7:23:00 PM",826.92,825.2,826.92,825.2,57.0,6,2024-05-06 19:23:00,44.79004976448971,HOLD,
SMCI.US_9,"May 6, 2024, 7:24:00 PM",826.11,825.2,826.11,825.2,38.0,6,2024-05-06 19:24:00,44.79004976448972,HOLD,
SMCI.US_9,"May 6, 2024, 7:25:00 PM",825.99,826.0,826.9,825.2,62.0,6,2024-05-06 19:25:00,54.01701762515478,HOLD,
SMCI.US_9,"May 6, 2024, 7:26:00 PM",826.0,824.99,826.0,823.9,50.0,6,2024-05-06 19:26:00,43.84160234506422,HOLD,
SMCI.US_9,"May 6, 2024, 7:27:00 PM",825.06,825.6,826.0,823.9,89.0,6,2024-05-06 19:27:00,50.087974827405105,HOLD,
SMCI.US_9,"May 6, 2024, 7:28:00 PM",825.81,828.52,828.52,825.81,106.0,6,2024-05-06 19:28:00,68.52322677861422,HOLD,
SMCI.US_9,"May 6, 2024, 7:29:00 PM",828.64,830.28,832.21,826.38,356.0,6,2024-05-06 19:29:00,74.71516381548619,HOLD,
SMCI.US_9,"May 6, 2024, 7:30:00 PM",830.28,829.0,830.28,826.38,75.0,6,2024-05-06 19:30:00,64.5558996895282,HOLD,
SMCI.US_9,"May 6, 2024, 7:31:00 PM",828.0,825.82,828.7,825.82,69.0,6,2024-05-06 19:31:00,47.066490157974044,HOLD,
SMCI.US_9,"May 6, 2024, 7:32:00 PM",825.82,828.48,828.48,825.82,75.0,6,2024-05-06 19:32:00,57.62876635335458,HOLD,
SMCI.US_9,"May 6, 2024, 7:33:00 PM",828.05,829.1,829.1,828.0,56.0,6,2024-05-06 19:33:00,59.69097164037235,HOLD,
SMCI.US_9,"May 6, 2024, 7:34:00 PM",829.31,828.0,829.31,828.0,35.0,6,2024-05-06 19:34:00,54.51305570909304,HOLD,
SMCI.US_9,"May 6, 2024, 7:35:00 PM",828.0,827.14,828.0,825.82,48.0,6,2024-05-06 19:35:00,50.72864664428157,HOLD,
SMCI.US_9,"May 6, 2024, 7:36:00 PM",827.5,827.47,827.5,825.82,20.0,6,2024-05-06 19:36:00,52.131321961903645,HOLD,
SMCI.US_9,"May 6, 2024, 7:37:00 PM",827.04,825.0,828.01,825.0,52.0,6,2024-05-06 19:37:00,42.232469724289714,HOLD,
SMCI.US_9,"May 6, 2024, 7:38:00 PM",825.0,826.0,826.25,825.0,34.0,6,2024-05-06 19:38:00,46.73659787304065,HOLD,
