symbol,ctmString,open,close,high,low,vol,quoteId,datetime,rsiM1,signal,signal_price
BITCOIN,"May 5, 2024, 3:34:00 PM",63825.0,63820.4,63833.6,63770.4,3417.0,5,2024-05-05 15:34:00,,HOLD,
BITCOIN,"May 5, 2024, 3:35:00 PM",63814.8,63848.6,63903.1,63783.3,2943.0,5,2024-05-05 15:35:00,,HOLD,
BITCOIN,"May 5, 2024, 3:36:00 PM",63849.8,63836.9,63874.3,63819.4,3270.0,5,2024-05-05 15:36:00,,HOLD,
BITCOIN,"May 5, 2024, 3:37:00 PM",63842.8,63849.0,63896.8,63842.8,3269.0,5,2024-05-05 15:37:00,,HOLD,
BITCOIN,"May 5, 2024, 3:38:00 PM",63848.0,63897.2,63902.5,63846.1,3299.0,5,2024-05-05 15:38:00,,HOLD,
BITCOIN,"May 5, 2024, 3:39:00 PM",63897.8,63910.0,63910.0,63879.8,3339.0,5,2024-05-05 15:39:00,,HOLD,
BITCOIN,"May 5, 2024, 3:40:00 PM",63910.8,63939.1,63939.1,63881.4,3114.0,5,2024-05-05 15:40:00,,HOLD,
BITCOIN,"May 5, 2024, 3:41:00 PM",63940.4,64011.2,64025.6,63938.9,3039.0,5,2024-05-05 15:41:00,,HOLD,
BITCOIN,"May 5, 2024, 3:42:00 PM",64009.7,63972.3,64009.7,63931.9,3142.0,5,2024-05-05 15:42:00,,HOLD,
BITCOIN,"May 5, 2024, 3:43:00 PM",63972.1,64042.3,64046.5,63972.1,2947.0,5,2024-05-05 15:43:00,,HOLD,
BITCOIN,"May 5, 2024, 3:44:00 PM",64040.1,64115.4,64116.0,64040.1,2981.0,5,2024-05-05 15:44:00,,HOLD,
BITCOIN,"May 5, 2024, 3:45:00 PM",64115.4,64082.7,64119.6,64047.6,3152.0,5,2024-05-05 15:45:00,78.21124923114718,HOLD,
BITCOIN,"May 5, 2024, 3:46:00 PM",64071.4,64027.3,64092.5,64017.4,3050.0,5,2024-05-05 15:46:00,65.25697869156441,HOLD,
BITCOIN,"May 5, 2024, 3:47:00 PM",64027.1,64079.8,64094.9,64027.1,3230.0,5,2024-05-05 15:47:00,70.37241032818334,HOLD,
BITCOIN,"May 5, 2024, 3:48:00 PM",64083.6,64034.7,64083.6,64034.7,3241.0,5,2024-05-05 15:48:00,61.77726362538556,HOLD,
BITCOIN,"May 5, 2024, 3:49:00 PM",64034.8,64057.4,64058.3,64002.0,3183.0,5,2024-05-05 15:49:00,64.19827494920978,HOLD,
BITCOIN,"May 5, 2024, 3:50:00 PM",64054.2,64052.1,64064.4,64026.9,3406.0,5,2024-05-05 15:50:00,63.17065361086931,HOLD,
BITCOIN,"May 5, 2024, 3:51:00 PM",64052.4,63995.7,64067.3,63985.0,3239.0,5,2024-05-05 15:51:00,53.20205551594622,HOLD,
BITCOIN,"May 5, 2024, 3:52:00 PM",63998.5,64093.2,64093.2,63998.5,3083.0,5,2024-05-05 15:52:00,64.00379367950302,HOLD,
BITCOIN,"May 5, 2024, 3:53:00 PM",64092.1,64064.5,64092.1,64049.5,3247.0,5,2024-05-05 15:53:00,59.55297124577271,HOLD,
BITCOIN,"May 5, 2024, 3:54:00 PM",64059.8,64088.0,64088.2,64059.8,3466.0,5,2024-05-05 15:54:00,61.93702442569611,HOLD,
BITCOIN,"May 5, 2024, 3:55:00 PM",64086.7,64060.4,64092.9,64031.1,3547.0,5,2024-05-05 15:55:00,57.554329708230185,HOLD,
BITCOIN,"May 5, 2024, 3:56:00 PM",64062.1,64015.9,64070.3,64015.9,3498.0,5,2024-05-05 15:56:00,51.13679793836383,HOLD,
BITCOIN,"May 5, 2024, 3:57:00 PM",64018.2,64026.0,64035.1,64014.9,3276.0,5,2024-05-05 15:57:00,52.4602285159467,HOLD,
