symbol,ctmString,open,close,high,low,vol,quoteId,datetime,rsiM1,signal
RHM.DE_9,"May 3, 2024, 12:02:00 PM",523.8,523.6,523.8,523.6,12.0,6,2024-05-03 12:02:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:03:00 PM",524.4,524.4,524.4,524.2,9.0,6,2024-05-03 12:03:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:04:00 PM",524.4,524.4,524.4,524.4,3.0,6,2024-05-03 12:04:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:05:00 PM",524.6,524.2,524.6,524.2,3.0,6,2024-05-03 12:05:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:06:00 PM",524.0,524.4,524.4,524.0,7.0,6,2024-05-03 12:06:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:07:00 PM",524.2,524.4,524.6,524.2,9.0,6,2024-05-03 12:07:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:08:00 PM",524.6,524.6,524.6,524.6,2.0,6,2024-05-03 12:08:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:09:00 PM",524.2,524.2,524.2,524.2,5.0,6,2024-05-03 12:09:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:10:00 PM",524.0,523.8,524.0,523.6,15.0,6,2024-05-03 12:10:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:11:00 PM",523.8,524.0,524.0,523.8,5.0,6,2024-05-03 12:11:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:12:00 PM",524.0,523.8,524.0,523.6,10.0,6,2024-05-03 12:12:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:13:00 PM",524.0,523.6,524.0,523.6,10.0,6,2024-05-03 12:13:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:14:00 PM",523.6,523.4,523.6,523.4,11.0,6,2024-05-03 12:14:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:16:00 PM",523.6,523.8,524.0,523.6,11.0,6,2024-05-03 12:16:00,,HOLD
RHM.DE_9,"May 3, 2024, 12:17:00 PM",523.6,523.6,524.2,523.6,8.0,6,2024-05-03 12:17:00,44.668019189191064,HOLD
RHM.DE_9,"May 3, 2024, 12:18:00 PM",523.4,523.4,523.4,523.4,2.0,6,2024-05-03 12:18:00,40.820214951455775,HOLD
RHM.DE_9,"May 3, 2024, 12:19:00 PM",523.4,524.0,524.0,523.4,11.0,6,2024-05-03 12:19:00,53.70451548239955,HOLD
RHM.DE_9,"May 3, 2024, 12:20:00 PM",524.2,523.8,524.2,523.8,7.0,6,2024-05-03 12:20:00,49.811546719154514,HOLD
RHM.DE_9,"May 3, 2024, 12:21:00 PM",523.4,523.4,523.4,523.4,6.0,6,2024-05-03 12:21:00,43.084749077433315,HOLD
RHM.DE_9,"May 3, 2024, 12:22:00 PM",523.2,523.6,523.6,523.2,6.0,6,2024-05-03 12:22:00,46.94287780428522,HOLD
RHM.DE_9,"May 3, 2024, 12:23:00 PM",523.8,523.8,523.8,523.8,2.0,6,2024-05-03 12:23:00,50.55261877137888,HOLD
RHM.DE_9,"May 3, 2024, 12:24:00 PM",524.2,524.2,524.2,524.2,9.0,6,2024-05-03 12:24:00,56.87240346888532,HOLD
RHM.DE_9,"May 3, 2024, 12:25:00 PM",524.0,524.0,524.0,524.0,7.0,6,2024-05-03 12:25:00,53.210467474924684,HOLD
