symbol,ctmString,open,close,high,low,vol,quoteId,datetime,rsiM1,signal
RHM.DE_9,"May 3, 2024, 1:06:00 PM",524.0,524.2,524.4,524.0,11.0,6,2024-05-03 13:06:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:07:00 PM",524.4,524.4,524.6,524.4,7.0,6,2024-05-03 13:07:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:08:00 PM",524.4,524.4,524.4,524.4,11.0,6,2024-05-03 13:08:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:09:00 PM",524.4,524.2,524.4,524.2,9.0,6,2024-05-03 13:09:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:10:00 PM",524.2,524.2,524.2,524.2,2.0,6,2024-05-03 13:10:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:11:00 PM",524.2,524.0,524.2,524.0,20.0,6,2024-05-03 13:11:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:12:00 PM",523.8,523.0,524.0,523.0,11.0,6,2024-05-03 13:12:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:13:00 PM",523.4,523.2,523.4,523.2,7.0,6,2024-05-03 13:13:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:14:00 PM",523.2,523.2,523.2,523.2,6.0,6,2024-05-03 13:14:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:15:00 PM",522.8,522.8,522.8,522.8,3.0,6,2024-05-03 13:15:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:16:00 PM",523.2,523.2,523.2,523.2,5.0,6,2024-05-03 13:16:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:17:00 PM",522.8,522.8,522.8,522.8,6.0,6,2024-05-03 13:17:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:18:00 PM",523.0,522.8,523.0,522.8,3.0,6,2024-05-03 13:18:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:19:00 PM",522.8,523.0,523.0,522.8,4.0,6,2024-05-03 13:19:00,,HOLD
RHM.DE_9,"May 3, 2024, 1:20:00 PM",523.0,523.2,523.2,523.0,4.0,6,2024-05-03 13:20:00,39.59247077967693,HOLD
RHM.DE_9,"May 3, 2024, 1:21:00 PM",523.4,523.4,523.4,523.4,5.0,6,2024-05-03 13:21:00,44.93756220350017,HOLD
RHM.DE_9,"May 3, 2024, 1:22:00 PM",523.2,523.2,523.2,523.2,4.0,6,2024-05-03 13:22:00,41.02799204362892,HOLD
RHM.DE_9,"May 3, 2024, 1:23:00 PM",523.4,523.2,523.4,523.2,5.0,6,2024-05-03 13:23:00,41.02799204362891,HOLD
RHM.DE_9,"May 3, 2024, 1:25:00 PM",523.2,524.0,524.0,523.2,13.0,6,2024-05-03 13:25:00,57.98511139296447,HOLD
RHM.DE_9,"May 3, 2024, 1:26:00 PM",523.6,523.4,523.6,523.4,3.0,6,2024-05-03 13:26:00,47.05636222328076,HOLD
RHM.DE_9,"May 3, 2024, 1:27:00 PM",523.4,523.8,523.8,523.4,7.0,6,2024-05-03 13:27:00,53.36658391666646,HOLD
RHM.DE_9,"May 3, 2024, 1:28:00 PM",523.6,523.6,523.6,523.6,3.0,6,2024-05-03 13:28:00,50.14817892433761,HOLD
RHM.DE_9,"May 3, 2024, 1:29:00 PM",523.8,523.8,523.8,523.8,5.0,6,2024-05-03 13:29:00,53.18842821902275,HOLD
RHM.DE_9,"May 3, 2024, 1:30:00 PM",524.0,523.6,524.0,523.6,2.0,6,2024-05-03 13:30:00,49.91046222335245,HOLD
RHM.DE_9,"May 3, 2024, 1:31:00 PM",523.8,523.6,524.0,523.6,9.0,6,2024-05-03 13:31:00,49.91046222335246,HOLD
RHM.DE_9,"May 3, 2024, 1:33:00 PM",524.0,524.0,524.0,524.0,11.0,6,2024-05-03 13:33:00,56.17524663768021,HOLD
