symbol,ctmString,open,close,high,low,vol,quoteId,datetime,rsiM1,signal,signal_price
BITCOIN,"May 4, 2024, 11:13:00 PM",63886.0,63918.0,63918.0,63875.0,266.0,5,2024-05-04 23:13:00,,HOLD,
BITCOIN,"May 4, 2024, 11:14:00 PM",63916.0,63889.0,63918.0,63889.0,196.0,5,2024-05-04 23:14:00,,HOLD,
BITCOIN,"May 4, 2024, 11:15:00 PM",63888.0,63882.0,63888.0,63882.0,195.0,5,2024-05-04 23:15:00,,HOLD,
BITCOIN,"May 4, 2024, 11:16:00 PM",63886.0,63883.0,63896.0,63882.0,229.0,5,2024-05-04 23:16:00,,HOLD,
BITCOIN,"May 4, 2024, 11:17:00 PM",63881.0,63878.0,63881.0,63878.0,232.0,5,2024-05-04 23:17:00,,HOLD,
BITCOIN,"May 4, 2024, 11:18:00 PM",63889.0,63960.0,63962.0,63889.0,296.0,5,2024-05-04 23:18:00,,HOLD,
BITCOIN,"May 4, 2024, 11:19:00 PM",63954.0,63974.0,63974.0,63950.0,212.0,5,2024-05-04 23:19:00,,HOLD,
BITCOIN,"May 4, 2024, 11:20:00 PM",63974.0,63932.0,63974.0,63932.0,258.0,5,2024-05-04 23:20:00,,HOLD,
BITCOIN,"May 4, 2024, 11:21:00 PM",63926.0,63921.0,63926.0,63921.0,225.0,5,2024-05-04 23:21:00,,HOLD,
BITCOIN,"May 4, 2024, 11:22:00 PM",63923.0,63951.0,63951.0,63923.0,232.0,5,2024-05-04 23:22:00,,HOLD,
BITCOIN,"May 4, 2024, 11:23:00 PM",63955.0,63956.0,63967.0,63955.0,162.0,5,2024-05-04 23:23:00,,HOLD,
BITCOIN,"May 4, 2024, 11:24:00 PM",63956.0,63958.0,63958.0,63956.0,169.0,5,2024-05-04 23:24:00,,HOLD,
BITCOIN,"May 4, 2024, 11:25:00 PM",63959.0,63971.0,63971.0,63959.0,335.0,5,2024-05-04 23:25:00,,HOLD,
BITCOIN,"May 4, 2024, 11:26:00 PM",63983.0,64006.0,64006.0,63983.0,268.0,5,2024-05-04 23:26:00,,HOLD,
BITCOIN,"May 4, 2024, 11:27:00 PM",64004.0,64008.0,64008.0,64003.0,234.0,5,2024-05-04 23:27:00,71.6065366848305,HOLD,
BITCOIN,"May 4, 2024, 11:28:00 PM",64008.0,63976.0,64014.0,63976.0,273.0,5,2024-05-04 23:28:00,59.5601122404256,HOLD,
BITCOIN,"May 4, 2024, 11:29:00 PM",63974.0,63927.0,63974.0,63927.0,196.0,5,2024-05-04 23:29:00,46.62535159220388,HOLD,
BITCOIN,"May 4, 2024, 11:30:00 PM",63929.0,63937.0,63937.0,63929.0,173.0,5,2024-05-04 23:30:00,49.056867626145056,HOLD,
BITCOIN,"May 4, 2024, 11:31:00 PM",63939.0,63939.0,63939.0,63939.0,156.0,5,2024-05-04 23:31:00,49.55186388290883,HOLD,
BITCOIN,"May 4, 2024, 11:32:00 PM",63940.0,63942.0,63942.0,63940.0,283.0,5,2024-05-04 23:32:00,50.33146696117375,HOLD,
BITCOIN,"May 4, 2024, 11:33:00 PM",63921.0,63830.0,63921.0,63830.0,370.0,5,2024-05-04 23:33:00,31.04366167599172,HOLD,
BITCOIN,"May 4, 2024, 11:34:00 PM",63826.0,63456.0,63826.0,63456.0,212.0,5,2024-05-04 23:34:00,13.053963421427643,BUY,63668.0
BITCOIN,"May 4, 2024, 11:35:00 PM",63450.0,63583.0,63621.0,63446.0,217.0,5,2024-05-04 23:35:00,28.257489091736204,HOLD,
BITCOIN,"May 4, 2024, 11:36:00 PM",63581.0,63551.0,63581.0,63460.0,222.0,5,2024-05-04 23:36:00,26.977441203107826,HOLD,
BITCOIN,"May 4, 2024, 11:37:00 PM",63551.0,63533.0,63593.0,63517.0,238.0,5,2024-05-04 23:37:00,26.256925046784126,HOLD,
BITCOIN,"May 4, 2024, 11:38:00 PM",63526.0,63467.0,63526.0,63458.0,217.0,5,2024-05-04 23:38:00,23.751976353997446,HOLD,
BITCOIN,"May 4, 2024, 11:39:00 PM",63466.0,63549.0,63615.0,63466.0,226.0,5,2024-05-04 23:39:00,32.383055737309945,HOLD,
BITCOIN,"May 4, 2024, 11:40:00 PM",63553.0,63535.0,63553.0,63496.0,223.0,5,2024-05-04 23:40:00,31.722807869556945,HOLD,
BITCOIN,"May 4, 2024, 11:41:00 PM",63533.0,63576.0,63587.0,63530.0,229.0,5,2024-05-04 23:41:00,35.8479616622188,HOLD,
BITCOIN,"May 4, 2024, 11:42:00 PM",63578.0,63610.0,63610.0,63562.0,234.0,5,2024-05-04 23:42:00,39.13217972314646,HOLD,
BITCOIN,"May 4, 2024, 11:43:00 PM",63609.0,63620.0,63620.0,63606.0,185.0,5,2024-05-04 23:43:00,40.10342579417077,HOLD,
BITCOIN,"May 4, 2024, 11:44:00 PM",63625.0,63608.0,63638.0,63608.0,277.0,5,2024-05-04 23:44:00,39.293165655611986,HOLD,
BITCOIN,"May 4, 2024, 11:45:00 PM",63620.0,63634.0,63634.0,63620.0,176.0,5,2024-05-04 23:45:00,42.026238850568966,HOLD,
BITCOIN,"May 4, 2024, 11:46:00 PM",63636.0,63638.0,63638.0,63636.0,270.0,5,2024-05-04 23:46:00,42.455467860374725,HOLD,
BITCOIN,"May 4, 2024, 11:49:00 PM",63639.0,63639.0,63639.0,63639.0,616.0,5,2024-05-04 23:49:00,42.56994572196032,HOLD,
BITCOIN,"May 4, 2024, 11:50:00 PM",63645.0,63858.0,63858.0,63645.0,334.0,5,2024-05-04 23:50:00,60.910324716360925,HOLD,
BITCOIN,"May 4, 2024, 11:51:00 PM",63857.0,63813.0,63877.0,63746.0,217.0,5,2024-05-04 23:51:00,56.89002625533817,HOLD,
BITCOIN,"May 4, 2024, 11:52:00 PM",63842.0,63874.0,63874.0,63798.0,228.0,5,2024-05-04 23:52:00,60.67877992763683,HOLD,
BITCOIN,"May 4, 2024, 11:53:00 PM",63869.0,63824.0,63869.0,63824.0,204.0,5,2024-05-04 23:53:00,56.31029102737572,HOLD,
BITCOIN,"May 4, 2024, 11:54:00 PM",63822.0,63762.0,63822.0,63754.0,256.0,5,2024-05-04 23:54:00,51.3714754979994,HOLD,
BITCOIN,"May 4, 2024, 11:55:00 PM",63764.0,63780.0,63819.0,63762.0,188.0,5,2024-05-04 23:55:00,52.669379961436924,HOLD,
BITCOIN,"May 4, 2024, 11:56:00 PM",63787.0,63801.0,63817.0,63753.0,250.0,5,2024-05-04 23:56:00,54.205059527320564,HOLD,
BITCOIN,"May 4, 2024, 11:57:00 PM",63804.0,63833.0,63836.0,63744.0,217.0,5,2024-05-04 23:57:00,56.52011886389391,HOLD,
