symbol,ask,bid,low,high,askVolume,bidVolume,spreadRaw,timestamp,datetime,rsiM1,signal,signal_price
BITCOIN,64011.0,63793.0,62478.0,64443.0,3,3,218.0,1714856888947,2024-05-04 22:08:08.947,,HOLD,
BITCOIN,64014.0,63788.0,62478.0,64443.0,5,5,226.0,1714856888947,2024-05-04 22:08:08.947,,HOLD,
BITCOIN,64017.0,63786.0,62478.0,64443.0,10,10,231.0,1714856888947,2024-05-04 22:08:08.947,,HOLD,
BITCOIN,64012.0,63795.0,62478.0,64443.0,3,3,217.0,1714856891377,2024-05-04 22:08:11.377,,HOLD,
BITCOIN,64017.0,63790.0,62478.0,64443.0,5,5,227.0,1714856891377,2024-05-04 22:08:11.377,,HOLD,
BITCOIN,64019.0,63788.0,62478.0,64443.0,10,10,231.0,1714856891377,2024-05-04 22:08:11.377,,HOLD,
BITCOIN,64015.0,63797.0,62478.0,64443.0,3,3,218.0,1714856892219,2024-05-04 22:08:12.219,,HOLD,
BITCOIN,64020.0,63794.0,62478.0,64443.0,5,5,226.0,1714856892219,2024-05-04 22:08:12.219,,HOLD,
BITCOIN,64022.0,63790.0,62478.0,64443.0,10,10,232.0,1714856892219,2024-05-04 22:08:12.219,,HOLD,
BITCOIN,64026.0,63808.0,62478.0,64443.0,3,3,218.0,1714856893315,2024-05-04 22:08:13.315,,HOLD,
BITCOIN,64031.0,63805.0,62478.0,64443.0,5,5,226.0,1714856893315,2024-05-04 22:08:13.315,,HOLD,
BITCOIN,64033.0,63801.0,62478.0,64443.0,10,10,232.0,1714856893315,2024-05-04 22:08:13.315,81.26626500546827,HOLD,
BITCOIN,64026.0,63808.0,62478.0,64443.0,3,2,218.0,1714856894206,2024-05-04 22:08:14.206,62.536173906309784,HOLD,
BITCOIN,64031.0,63805.0,62478.0,64443.0,5,5,226.0,1714856894206,2024-05-04 22:08:14.206,68.2802926698541,SELL,63808.0
BITCOIN,64033.0,63801.0,62478.0,64443.0,10,10,232.0,1714856894206,2024-05-04 22:08:14.206,70.28495119932325,HOLD,
BITCOIN,64028.0,63810.0,62478.0,64443.0,3,3,218.0,1714856894441,2024-05-04 22:08:14.441,59.87825117333722,HOLD,
BITCOIN,64033.0,63807.0,62478.0,64443.0,5,5,226.0,1714856894441,2024-05-04 22:08:14.441,65.49767440899976,SELL,63810.0
BITCOIN,64035.0,63803.0,62478.0,64443.0,10,10,232.0,1714856894441,2024-05-04 22:08:14.441,67.50049179916323,HOLD,
BITCOIN,64036.0,63818.0,62478.0,64443.0,3,3,218.0,1714856905108,2024-05-04 22:08:25.108,68.50599524370602,HOLD,
BITCOIN,64041.0,63815.0,62478.0,64443.0,5,5,226.0,1714856905108,2024-05-04 22:08:25.108,73.08583581939787,HOLD,
BITCOIN,64043.0,63811.0,62478.0,64443.0,10,10,232.0,1714856905108,2024-05-04 22:08:25.108,74.70436570233709,HOLD,
BITCOIN,64038.0,63820.0,62478.0,64443.0,3,3,218.0,1714856906764,2024-05-04 22:08:26.764,64.10322920570204,HOLD,
BITCOIN,64041.0,63815.0,62478.0,64443.0,5,5,226.0,1714856906764,2024-05-04 22:08:26.764,67.1773700148827,SELL,63820.0
BITCOIN,64045.0,63813.0,62478.0,64443.0,10,10,232.0,1714856906764,2024-05-04 22:08:26.764,70.83995706147473,HOLD,
BITCOIN,64039.0,63821.0,62478.0,64443.0,3,2,218.0,1714856908865,2024-05-04 22:08:28.865,59.82503381699328,HOLD,
BITCOIN,64044.0,63818.0,62478.0,64443.0,5,5,226.0,1714856908865,2024-05-04 22:08:28.865,64.83692337260467,HOLD,
BITCOIN,64046.0,63815.0,62478.0,64443.0,10,10,231.0,1714856908865,2024-05-04 22:08:28.865,66.66661566453958,SELL,63821.0
BITCOIN,64043.0,63825.0,62478.0,64443.0,3,3,218.0,1714856909408,2024-05-04 22:08:29.408,61.39539794668807,HOLD,
BITCOIN,64048.0,63820.0,62478.0,64443.0,5,5,228.0,1714856909408,2024-05-04 22:08:29.408,66.28297117811618,SELL,63825.0
BITCOIN,64050.0,63818.0,62478.0,64443.0,10,10,232.0,1714856909408,2024-05-04 22:08:29.408,68.06212264443847,HOLD,
BITCOIN,64051.0,63833.0,62478.0,64443.0,3,3,218.0,1714856911056,2024-05-04 22:08:31.056,68.96287982528426,HOLD,
BITCOIN,64054.0,63828.0,62478.0,64443.0,5,5,226.0,1714856911056,2024-05-04 22:08:31.056,71.60558407840199,HOLD,
BITCOIN,64058.0,63826.0,62478.0,64443.0,10,10,232.0,1714856911056,2024-05-04 22:08:31.056,74.75786331709419,HOLD,
BITCOIN,64053.0,63835.0,62478.0,64443.0,3,3,218.0,1714856911576,2024-05-04 22:08:31.576,64.85743053688833,HOLD,
BITCOIN,64056.0,63830.0,62478.0,64443.0,5,5,226.0,1714856911576,2024-05-04 22:08:31.576,67.68220008447466,SELL,63835.0
BITCOIN,64059.0,63828.0,62478.0,64443.0,10,10,231.0,1714856911576,2024-05-04 22:08:31.576,70.30755574217741,HOLD,
BITCOIN,64054.0,63836.0,62478.0,64443.0,3,3,218.0,1714856912039,2024-05-04 22:08:32.039,61.19383962470597,HOLD,
BITCOIN,64059.0,63833.0,62478.0,64443.0,5,5,226.0,1714856912039,2024-05-04 22:08:32.039,66.03664256738483,SELL,63836.0
BITCOIN,64061.0,63830.0,62478.0,64443.0,10,10,231.0,1714856912039,2024-05-04 22:08:32.039,67.80448740238045,HOLD,
BITCOIN,64056.0,63838.0,62478.0,64443.0,3,3,218.0,1714856912969,2024-05-04 22:08:32.969,59.314157113766655,HOLD,
BITCOIN,64061.0,63833.0,62478.0,64443.0,5,5,228.0,1714856912969,2024-05-04 22:08:32.969,64.23975863672051,HOLD,
BITCOIN,64063.0,63831.0,62478.0,64443.0,10,10,232.0,1714856912969,2024-05-04 22:08:32.969,66.04830677057504,SELL,63838.0
BITCOIN,64062.0,63845.0,62478.0,64443.0,3,3,217.0,1714856914721,2024-05-04 22:08:34.721,64.26083703170661,HOLD,
BITCOIN,64067.0,63840.0,62478.0,64443.0,5,5,227.0,1714856914721,2024-05-04 22:08:34.721,68.89127351903893,SELL,63845.0
BITCOIN,64069.0,63838.0,62478.0,64443.0,10,10,231.0,1714856914721,2024-05-04 22:08:34.721,70.56905149846321,HOLD,
BITCOIN,64069.0,63851.0,62478.0,64443.0,3,3,218.0,1714856915210,2024-05-04 22:08:35.210,70.5690514984632,HOLD,
BITCOIN,64074.0,63848.0,62478.0,64443.0,5,5,226.0,1714856915210,2024-05-04 22:08:35.210,74.69712569597165,HOLD,
BITCOIN,64076.0,63845.0,62478.0,64443.0,10,10,231.0,1714856915210,2024-05-04 22:08:35.210,76.16793888710346,HOLD,
BITCOIN,64073.0,63855.0,62478.0,64443.0,3,3,218.0,1714856916169,2024-05-04 22:08:36.169,69.50189388287104,HOLD,
BITCOIN,64078.0,63850.0,62478.0,64443.0,5,5,228.0,1714856916169,2024-05-04 22:08:36.169,73.71870571431754,HOLD,
BITCOIN,64080.0,63848.0,62478.0,64443.0,10,10,232.0,1714856916169,2024-05-04 22:08:36.169,75.22587603515288,HOLD,
BITCOIN,64074.0,63857.0,62478.0,64443.0,3,3,217.0,1714856916521,2024-05-04 22:08:36.521,63.25503591144441,HOLD,
BITCOIN,64079.0,63852.0,62478.0,64443.0,5,5,227.0,1714856916521,2024-05-04 22:08:36.521,67.93272048567442,SELL,63857.0
BITCOIN,64081.0,63850.0,62478.0,64443.0,10,10,231.0,1714856916521,2024-05-04 22:08:36.521,69.63362054738852,HOLD,
BITCOIN,64071.0,63853.0,62478.0,64443.0,3,3,218.0,1714856917358,2024-05-04 22:08:37.358,53.9073048836668,BUY,64071.0
BITCOIN,64076.0,63850.0,62478.0,64443.0,5,5,226.0,1714856917358,2024-05-04 22:08:37.358,59.00007177696155,HOLD,
BITCOIN,64078.0,63847.0,62478.0,64443.0,10,10,231.0,1714856917358,2024-05-04 22:08:37.358,60.90089274092734,HOLD,
BITCOIN,64066.0,63848.0,62478.0,64443.0,3,3,218.0,1714856917839,2024-05-04 22:08:37.839,46.632105128376324,BUY,64061.0
BITCOIN,64071.0,63843.0,62478.0,64443.0,5,5,228.0,1714856917839,2024-05-04 22:08:37.839,51.80729363735712,HOLD,
BITCOIN,64073.0,63841.0,62478.0,64443.0,10,10,232.0,1714856917839,2024-05-04 22:08:37.839,53.77941751967671,HOLD,
BITCOIN,64061.0,63843.0,62478.0,64443.0,3,3,218.0,1714856918640,2024-05-04 22:08:38.640,42.34323978840963,HOLD,
BITCOIN,64064.0,63838.0,62478.0,64443.0,5,5,226.0,1714856918640,2024-05-04 22:08:38.640,45.52865184844402,HOLD,
BITCOIN,64067.0,63836.0,62478.0,64443.0,10,10,231.0,1714856918640,2024-05-04 22:08:38.640,48.649365251026296,HOLD,
BITCOIN,64057.0,63839.0,62478.0,64443.0,3,3,218.0,1714856919618,2024-05-04 22:08:39.618,40.20387111762595,HOLD,
BITCOIN,64062.0,63836.0,62478.0,64443.0,5,5,226.0,1714856919618,2024-05-04 22:08:39.618,45.415570437757545,HOLD,
BITCOIN,64064.0,63833.0,62478.0,64443.0,10,10,231.0,1714856919618,2024-05-04 22:08:39.618,47.431541085853326,HOLD,
BITCOIN,64053.0,63835.0,62478.0,64443.0,3,3,218.0,1714856924903,2024-05-04 22:08:44.903,38.76883541876273,HOLD,
BITCOIN,64056.0,63830.0,62478.0,64443.0,5,5,226.0,1714856924903,2024-05-04 22:08:44.903,41.94946993491036,HOLD,
BITCOIN,64060.0,63828.0,62478.0,64443.0,10,10,232.0,1714856924903,2024-05-04 22:08:44.903,46.05899561438427,HOLD,
BITCOIN,64051.0,63833.0,62478.0,64443.0,3,3,218.0,1714856931945,2024-05-04 22:08:51.945,39.19211612971312,HOLD,
BITCOIN,64056.0,63830.0,62478.0,64443.0,5,5,226.0,1714856931945,2024-05-04 22:08:51.945,44.26969375783489,HOLD,
BITCOIN,64058.0,63826.0,62478.0,64443.0,10,10,232.0,1714856931945,2024-05-04 22:08:51.945,46.24470954283285,HOLD,
BITCOIN,64053.0,63835.0,62478.0,64443.0,3,3,218.0,1714856934844,2024-05-04 22:08:54.844,42.138070940133176,HOLD,
BITCOIN,64056.0,63830.0,62478.0,64443.0,5,5,226.0,1714856934844,2024-05-04 22:08:54.844,45.341576388147715,HOLD,
BITCOIN,64060.0,63828.0,62478.0,64443.0,10,10,232.0,1714856934844,2024-05-04 22:08:54.844,49.44658855045043,HOLD,
BITCOIN,64054.0,63837.0,62478.0,64443.0,3,3,217.0,1714856938791,2024-05-04 22:08:58.791,43.99475940294155,HOLD,
BITCOIN,64059.0,63832.0,62478.0,64443.0,5,5,227.0,1714856938791,2024-05-04 22:08:58.791,49.13556915141881,HOLD,
BITCOIN,64061.0,63830.0,62478.0,64443.0,10,10,231.0,1714856938791,2024-05-04 22:08:58.791,51.110147051321455,HOLD,
BITCOIN,64058.0,63840.0,62478.0,64443.0,3,3,218.0,1714856939923,2024-05-04 22:08:59.923,48.03342954354704,HOLD,
BITCOIN,64061.0,63835.0,62478.0,64443.0,5,5,226.0,1714856939923,2024-05-04 22:08:59.923,51.260819200677346,HOLD,
BITCOIN,64064.0,63833.0,62478.0,64443.0,10,10,231.0,1714856939923,2024-05-04 22:08:59.923,54.37754558533627,HOLD,
BITCOIN,64056.0,63838.0,62478.0,64443.0,3,3,218.0,1714856944314,2024-05-04 22:09:04.314,45.788610269218516,HOLD,
BITCOIN,64061.0,63833.0,62478.0,64443.0,5,5,228.0,1714856944314,2024-05-04 22:09:04.314,51.09882108206045,HOLD,
BITCOIN,64063.0,63831.0,62478.0,64443.0,10,10,232.0,1714856944314,2024-05-04 22:09:04.314,53.119360938804135,HOLD,
BITCOIN,64054.0,63836.0,62478.0,64443.0,3,3,218.0,1714856945010,2024-05-04 22:09:05.010,44.099722169070105,HOLD,
BITCOIN,64057.0,63831.0,62478.0,64443.0,5,5,226.0,1714856945010,2024-05-04 22:09:05.010,47.37607717269437,HOLD,
BITCOIN,64060.0,63829.0,62478.0,64443.0,10,10,231.0,1714856945010,2024-05-04 22:09:05.010,50.56334631252597,HOLD,
BITCOIN,64054.0,63836.0,62478.0,64443.0,3,3,218.0,1714856945682,2024-05-04 22:09:05.682,44.61810701057854,HOLD,
BITCOIN,64059.0,63833.0,62478.0,64443.0,5,5,226.0,1714856945682,2024-05-04 22:09:05.682,50.00649161202272,HOLD,
BITCOIN,64061.0,63829.0,62478.0,64443.0,10,10,232.0,1714856945682,2024-05-04 22:09:05.682,52.058844170544596,HOLD,
BITCOIN,64064.0,63846.0,62478.0,64443.0,3,3,218.0,1714856953303,2024-05-04 22:09:13.303,55.10019651275129,HOLD,
BITCOIN,64067.0,63841.0,62478.0,64443.0,5,5,226.0,1714856953303,2024-05-04 22:09:13.303,58.02906307088893,HOLD,
BITCOIN,64070.0,63839.0,62478.0,64443.0,10,10,231.0,1714856953303,2024-05-04 22:09:13.303,60.83903037480499,HOLD,
BITCOIN,64065.0,63848.0,62478.0,64443.0,3,3,217.0,1714856953638,2024-05-04 22:09:13.638,54.18788776545532,BUY,64065.0
BITCOIN,64070.0,63843.0,62478.0,64443.0,5,5,227.0,1714856953638,2024-05-04 22:09:13.638,59.10567469624676,HOLD,
BITCOIN,64072.0,63841.0,62478.0,64443.0,10,10,231.0,1714856953638,2024-05-04 22:09:13.638,60.95010374434481,HOLD,
BITCOIN,64065.0,63848.0,62478.0,64443.0,2,3,217.0,1714856954231,2024-05-04 22:09:14.231,51.93236345666677,BUY,64065.0
BITCOIN,64070.0,63843.0,62478.0,64443.0,5,5,227.0,1714856954231,2024-05-04 22:09:14.231,56.93823550974558,HOLD,
BITCOIN,64072.0,63841.0,62478.0,64443.0,10,10,231.0,1714856954231,2024-05-04 22:09:14.231,58.82498158403159,HOLD,
BITCOIN,64067.0,63849.0,62478.0,64443.0,3,3,218.0,1714856956923,2024-05-04 22:09:16.923,52.49929332901901,BUY,64067.0
BITCOIN,64072.0,63844.0,62478.0,64443.0,5,5,228.0,1714856956923,2024-05-04 22:09:16.923,57.523705857691034,HOLD,
BITCOIN,64074.0,63842.0,62478.0,64443.0,10,10,232.0,1714856956923,2024-05-04 22:09:16.923,59.4126893855027,HOLD,
BITCOIN,64067.0,63849.0,62478.0,64443.0,2,3,218.0,1714856957130,2024-05-04 22:09:17.130,50.727389910650196,BUY,64067.0
BITCOIN,64072.0,63844.0,62478.0,64443.0,5,5,228.0,1714856957130,2024-05-04 22:09:17.130,55.80378392943372,HOLD,
BITCOIN,64074.0,63842.0,62478.0,64443.0,10,10,232.0,1714856957130,2024-05-04 22:09:17.130,57.72039230052057,HOLD,
BITCOIN,64069.0,63851.0,62478.0,64443.0,3,3,218.0,1714856957911,2024-05-04 22:09:17.911,51.570312519469645,BUY,64069.0
