symbol,ask,bid,low,high,askVolume,bidVolume,spreadRaw,timestamp,datetime,rsiM1,signal,signal_price
BITCOIN,64043.0,63825.0,62478.0,64443.0,3,3,218.0,1714855366654,2024-05-04 21:42:46.654,,HOLD,
BITCOIN,64048.0,63822.0,62478.0,64443.0,5,5,226.0,1714855366654,2024-05-04 21:42:46.654,,HOLD,
BITCOIN,64050.0,63819.0,62478.0,64443.0,10,10,231.0,1714855366654,2024-05-04 21:42:46.654,,HOLD,
BITCOIN,64043.0,63825.0,62478.0,64443.0,2,3,218.0,1714855373795,2024-05-04 21:42:53.795,,HOLD,
BITCOIN,64048.0,63822.0,62478.0,64443.0,5,5,226.0,1714855373795,2024-05-04 21:42:53.795,,HOLD,
BITCOIN,64050.0,63819.0,62478.0,64443.0,10,10,231.0,1714855373795,2024-05-04 21:42:53.795,,HOLD,
BITCOIN,64055.0,63837.0,62478.0,64443.0,3,3,218.0,1714855378374,2024-05-04 21:42:58.374,,HOLD,
BITCOIN,64060.0,63834.0,62478.0,64443.0,5,5,226.0,1714855378374,2024-05-04 21:42:58.374,,HOLD,
BITCOIN,64062.0,63831.0,62478.0,64443.0,10,10,231.0,1714855378374,2024-05-04 21:42:58.374,,HOLD,
BITCOIN,64057.0,63839.0,62478.0,64443.0,3,3,218.0,1714855381875,2024-05-04 21:43:01.875,,HOLD,
BITCOIN,64062.0,63834.0,62478.0,64443.0,5,5,228.0,1714855381875,2024-05-04 21:43:01.875,,HOLD,
BITCOIN,64064.0,63832.0,62478.0,64443.0,10,10,232.0,1714855381875,2024-05-04 21:43:01.875,73.98462050089506,HOLD,
BITCOIN,64059.0,63841.0,62478.0,64443.0,3,3,218.0,1714855386952,2024-05-04 21:43:06.952,61.99401702198152,HOLD,
BITCOIN,64062.0,63836.0,62478.0,64443.0,5,5,226.0,1714855386952,2024-05-04 21:43:06.952,65.6665138509862,HOLD,
BITCOIN,64065.0,63834.0,62478.0,64443.0,10,10,231.0,1714855386952,2024-05-04 21:43:06.952,68.96526933922817,HOLD,
BITCOIN,64073.0,63855.0,62478.0,64443.0,3,3,218.0,1714855395051,2024-05-04 21:43:15.051,75.78880990558869,HOLD,
BITCOIN,64078.0,63850.0,62478.0,64443.0,5,5,228.0,1714855395051,2024-05-04 21:43:15.051,78.96799094550383,HOLD,
BITCOIN,64080.0,63848.0,62478.0,64443.0,10,10,232.0,1714855395051,2024-05-04 21:43:15.051,80.11677556733264,HOLD,
BITCOIN,64078.0,63860.0,62478.0,64443.0,3,3,218.0,1714855395530,2024-05-04 21:43:15.530,75.57595656597894,HOLD,
BITCOIN,64083.0,63857.0,62478.0,64443.0,5,5,226.0,1714855395530,2024-05-04 21:43:15.530,78.86943308738738,HOLD,
BITCOIN,64085.0,63853.0,62478.0,64443.0,10,10,232.0,1714855395530,2024-05-04 21:43:15.530,80.05293428850807,HOLD,
