symbol,ask,bid,low,high,askVolume,bidVolume,spreadRaw,timestamp,datetime,rsiM1,signal,signal_price
ETHEREUM,3141.15,3126.25,3087.58,3162.55,10,10,14.9,1714855281173,2024-05-04 21:41:21.173,,HOLD,
ETHEREUM,3141.45,3126.05,3087.58,3162.55,50,50,15.4,1714855281173,2024-05-04 21:41:21.173,,HOLD,
ETHEREUM,3141.75,3125.75,3087.58,3162.55,150,150,16.0,1714855281173,2024-05-04 21:41:21.173,,HOLD,
ETHEREUM,3141.25,3126.25,3087.58,3162.55,10,10,15.0,1714855282672,2024-05-04 21:41:22.672,,HOLD,
ETHEREUM,3141.45,3126.05,3087.58,3162.55,50,50,15.4,1714855282672,2024-05-04 21:41:22.672,,HOLD,
ETHEREUM,3141.75,3125.75,3087.58,3162.55,150,150,16.0,1714855282672,2024-05-04 21:41:22.672,,HOLD,
ETHEREUM,3141.25,3126.35,3087.58,3162.55,10,10,14.9,1714855286376,2024-05-04 21:41:26.376,,HOLD,
ETHEREUM,3141.55,3126.15,3087.58,3162.55,50,50,15.4,1714855286376,2024-05-04 21:41:26.376,,HOLD,
ETHEREUM,3141.85,3125.85,3087.58,3162.55,150,150,16.0,1714855286376,2024-05-04 21:41:26.376,,HOLD,
