symbol,ask,bid,low,high,askVolume,bidVolume,spreadRaw,timestamp,datetime,rsiM1,signal,signal_price
BITCOIN,63804.7,63618.9,62777.0,64084.0,0,0,185.8,1714902196441,2024-05-05 10:43:16.441,,HOLD,
BITCOIN,63806.8,63616.8,62777.0,64084.0,0,0,190.0,1714902196441,2024-05-05 10:43:16.441,,HOLD,
BITCOIN,63809.0,63613.8,62777.0,64084.0,0,0,195.2,1714902196441,2024-05-05 10:43:16.441,,HOLD,
BITCOIN,63804.7,63619.5,62777.0,64084.0,0,0,185.2,1714902197154,2024-05-05 10:43:17.154,,HOLD,
BITCOIN,63806.8,63616.8,62777.0,64084.0,0,0,190.0,1714902197154,2024-05-05 10:43:17.154,,HOLD,
BITCOIN,63809.0,63613.8,62777.0,64084.0,0,0,195.2,1714902197154,2024-05-05 10:43:17.154,,HOLD,
