symbol,ask,bid,low,high,askVolume,bidVolume,spreadRaw,timestamp,datetime,rsiM1,signal,signal_price
BITCOIN,64016.0,63798.0,62478.0,64443.0,3,3,218.0,1714856239060,2024-05-04 21:57:19.060,,HOLD,
BITCOIN,64019.0,63793.0,62478.0,64443.0,5,5,226.0,1714856239060,2024-05-04 21:57:19.060,,HOLD,
BITCOIN,64023.0,63791.0,62478.0,64443.0,10,10,232.0,1714856239060,2024-05-04 21:57:19.060,,HOLD,
BITCOIN,64016.0,63798.0,62478.0,64443.0,3,2,218.0,1714856244695,2024-05-04 21:57:24.695,,HOLD,
BITCOIN,64019.0,63793.0,62478.0,64443.0,5,5,226.0,1714856244695,2024-05-04 21:57:24.695,,HOLD,
BITCOIN,64023.0,63791.0,62478.0,64443.0,10,10,232.0,1714856244695,2024-05-04 21:57:24.695,,HOLD,
BITCOIN,64012.0,63794.0,62478.0,64443.0,3,3,218.0,1714856280539,2024-05-04 21:58:00.539,,HOLD,
BITCOIN,64015.0,63789.0,62478.0,64443.0,5,5,226.0,1714856280539,2024-05-04 21:58:00.539,,HOLD,
BITCOIN,64019.0,63787.0,62478.0,64443.0,10,10,232.0,1714856280539,2024-05-04 21:58:00.539,,HOLD,
BITCOIN,64014.0,63796.0,62478.0,64443.0,3,3,218.0,1714856320409,2024-05-04 21:58:40.409,,HOLD,
BITCOIN,64017.0,63791.0,62478.0,64443.0,5,5,226.0,1714856320409,2024-05-04 21:58:40.409,,HOLD,
BITCOIN,64021.0,63789.0,62478.0,64443.0,10,10,232.0,1714856320409,2024-05-04 21:58:40.409,56.436099965191445,HOLD,
BITCOIN,64014.0,63796.0,62478.0,64443.0,3,2,218.0,1714856338107,2024-05-04 21:58:58.107,45.66902221028741,BUY,64014.0
BITCOIN,64017.0,63791.0,62478.0,64443.0,5,5,226.0,1714856338107,2024-05-04 21:58:58.107,50.152359011397095,HOLD,
BITCOIN,64021.0,63789.0,62478.0,64443.0,10,10,232.0,1714856338107,2024-05-04 21:58:58.107,55.533984607015846,HOLD,
BITCOIN,63998.0,63780.0,62478.0,64443.0,3,3,218.0,1714856340953,2024-05-04 21:59:00.953,32.99983516149791,BUY,63998.0
BITCOIN,64001.0,63775.0,62478.0,64443.0,5,5,226.0,1714856340953,2024-05-04 21:59:00.953,36.685947370157834,HOLD,
BITCOIN,64004.0,63773.0,62478.0,64443.0,10,10,231.0,1714856340953,2024-05-04 21:59:00.953,40.298942603477656,HOLD,
BITCOIN,63990.0,63772.0,62478.0,64443.0,3,3,218.0,1714856341467,2024-05-04 21:59:01.467,31.168649379151123,HOLD,
BITCOIN,63993.0,63767.0,62478.0,64443.0,5,5,226.0,1714856341467,2024-05-04 21:59:01.467,34.658189091673634,HOLD,
BITCOIN,63997.0,63765.0,62478.0,64443.0,5,10,232.0,1714856341467,2024-05-04 21:59:01.467,39.18045836410497,HOLD,
BITCOIN,63988.0,63770.0,62478.0,64443.0,3,3,218.0,1714856342119,2024-05-04 21:59:02.119,33.45059459015969,HOLD,
BITCOIN,63993.0,63765.0,62478.0,64443.0,5,5,228.0,1714856342119,2024-05-04 21:59:02.119,38.91022783859944,HOLD,
BITCOIN,63995.0,63763.0,62478.0,64443.0,10,10,232.0,1714856342119,2024-05-04 21:59:02.119,41.03856303041508,HOLD,
BITCOIN,63986.0,63768.0,62478.0,64443.0,3,3,218.0,1714856348235,2024-05-04 21:59:08.235,35.00223898999005,HOLD,
