symbol,ask,bid,low,high,askVolume,bidVolume,spreadRaw,timestamp,datetime,rsiM1,signal,signal_price
GOOGL.US_9,166.25,166.23,163.05,167.87,210,10,0.02,1714758013857,2024-05-03 18:40:13.857,,HOLD,
GOOGL.US_9,166.25,166.24,163.05,167.87,10,100,0.01,1714758014857,2024-05-03 18:40:14.857,,HOLD,
GOOGL.US_9,166.26,166.23,163.05,167.87,110,120,0.03,1714758015858,2024-05-03 18:40:15.858,,HOLD,
GOOGL.US_9,166.26,166.24,163.05,167.87,110,100,0.02,1714758016859,2024-05-03 18:40:16.859,,HOLD,
GOOGL.US_9,166.25,166.22,163.05,167.87,110,356,0.03,1714758018361,2024-05-03 18:40:18.361,,HOLD,
GOOGL.US_9,166.25,166.23,163.05,167.87,211,100,0.02,1714758020362,2024-05-03 18:40:20.362,,HOLD,
GOOGL.US_9,166.24,166.23,163.05,167.87,3,210,0.01,1714758021863,2024-05-03 18:40:21.863,,HOLD,
GOOGL.US_9,166.24,166.22,163.05,167.87,110,110,0.02,1714758024866,2024-05-03 18:40:24.866,,HOLD,
GOOGL.US_9,166.25,166.22,163.05,167.87,216,110,0.03,1714758025866,2024-05-03 18:40:25.866,,HOLD,
GOOGL.US_9,166.25,166.23,163.05,167.87,316,110,0.02,1714758026867,2024-05-03 18:40:26.867,51.355916299146095,HOLD,
GOOGL.US_9,166.25,166.22,163.05,167.87,216,210,0.03,1714758028368,2024-05-03 18:40:28.368,51.3559162991461,HOLD,
GOOGL.US_9,166.25,166.24,163.05,167.87,6,100,0.01,1714758029869,2024-05-03 18:40:29.869,51.355916299146095,HOLD,
GOOGL.US_9,166.25,166.22,163.05,167.87,216,110,0.03,1714758031869,2024-05-03 18:40:31.869,51.35591629914609,HOLD,
GOOGL.US_9,166.25,166.23,163.05,167.87,216,22,0.02,1714758033370,2024-05-03 18:40:33.370,51.3559162991461,HOLD,
GOOGL.US_9,166.24,166.23,163.05,167.87,100,12,0.01,1714758034371,2024-05-03 18:40:34.371,30.25891943443381,HOLD,
GOOGL.US_9,166.25,166.24,163.05,167.87,6,10,0.01,1714758035871,2024-05-03 18:40:35.871,52.30236656672368,HOLD,
GOOGL.US_9,166.26,166.24,163.05,167.87,110,100,0.02,1714758038874,2024-05-03 18:40:38.874,64.81398399480354,HOLD,
GOOGL.US_9,166.27,166.26,163.05,167.87,171,100,0.01,1714758041375,2024-05-03 18:40:41.375,72.83142834103874,SELL,166.26
GOOGL.US_9,166.28,166.26,163.05,167.87,91,310,0.02,1714758042876,2024-05-03 18:40:42.876,78.3748458820452,HOLD,
GOOGL.US_9,166.31,166.28,163.05,167.87,200,210,0.03,1714758047878,2024-05-03 18:40:47.878,87.19365280123345,HOLD,
GOOGL.US_9,166.31,166.29,163.05,167.87,210,173,0.02,1714758049879,2024-05-03 18:40:49.879,87.19365280123345,HOLD,
GOOGL.US_9,166.3,166.27,163.05,167.87,120,73,0.03,1714758051881,2024-05-03 18:40:51.881,74.3946504055875,HOLD,
GOOGL.US_9,166.31,166.29,163.05,167.87,210,100,0.02,1714758054883,2024-05-03 18:40:54.883,78.02373903394455,HOLD,
GOOGL.US_9,166.3,166.28,163.05,167.87,30,10,0.02,1714758055884,2024-05-03 18:40:55.884,67.29385996379436,HOLD,
GOOGL.US_9,166.29,166.27,163.05,167.87,100,73,0.02,1714758057886,2024-05-03 18:40:57.886,58.27767507548058,HOLD,
GOOGL.US_9,166.3,166.27,163.05,167.87,20,73,0.03,1714758059888,2024-05-03 18:40:59.888,63.74273504039806,HOLD,
GOOGL.US_9,166.31,166.3,163.05,167.87,220,200,0.01,1714758060889,2024-05-03 18:41:00.889,68.39939336039355,HOLD,
GOOGL.US_9,166.33,166.31,163.05,167.87,100,10,0.02,1714758062390,2024-05-03 18:41:02.390,75.4839458544801,SELL,166.31
GOOGL.US_9,166.31,166.28,163.05,167.87,212,212,0.03,1714758063392,2024-05-03 18:41:03.392,60.28037868726468,HOLD,
GOOGL.US_9,166.32,166.29,163.05,167.87,110,280,0.03,1714758064893,2024-05-03 18:41:04.893,64.32248746633469,HOLD,
GOOGL.US_9,166.31,166.29,163.05,167.87,110,210,0.02,1714758066895,2024-05-03 18:41:06.895,57.71489390028149,HOLD,
GOOGL.US_9,166.33,166.3,163.05,167.87,300,200,0.03,1714758067896,2024-05-03 18:41:07.896,65.65351845682912,HOLD,
GOOGL.US_9,166.32,166.29,163.05,167.87,110,10,0.03,1714758069397,2024-05-03 18:41:09.397,59.3824900245043,HOLD,
GOOGL.US_9,166.33,166.3,163.05,167.87,300,200,0.03,1714758074901,2024-05-03 18:41:14.901,63.323611746618454,HOLD,
GOOGL.US_9,166.32,166.31,163.05,167.87,110,190,0.01,1714758076902,2024-05-03 18:41:16.902,57.091560850420464,HOLD,
GOOGL.US_9,166.32,166.3,163.05,167.87,120,110,0.02,1714758078403,2024-05-03 18:41:18.403,57.091560850420464,HOLD,
GOOGL.US_9,166.33,166.3,163.05,167.87,210,210,0.03,1714758079404,2024-05-03 18:41:19.404,61.844161867859675,HOLD,
GOOGL.US_9,166.32,166.31,163.05,167.87,10,100,0.01,1714758081906,2024-05-03 18:41:21.906,54.991816724201904,HOLD,
GOOGL.US_9,166.33,166.3,163.05,167.87,213,110,0.03,1714758083907,2024-05-03 18:41:23.907,59.980283169397744,HOLD,
GOOGL.US_9,166.33,166.31,163.05,167.87,213,100,0.02,1714758086909,2024-05-03 18:41:26.909,59.98028316939775,HOLD,
GOOGL.US_9,166.32,166.3,163.05,167.87,10,110,0.02,1714758088910,2024-05-03 18:41:28.910,52.601589442021485,HOLD,
GOOGL.US_9,166.33,166.3,163.05,167.87,203,310,0.03,1714758092914,2024-05-03 18:41:32.914,58.363863601500654,HOLD,
GOOGL.US_9,166.32,166.31,163.05,167.87,100,110,0.01,1714758094916,2024-05-03 18:41:34.916,51.34195655206343,HOLD,
GOOGL.US_9,166.32,166.3,163.05,167.87,100,210,0.02,1714758096417,2024-05-03 18:41:36.417,51.34195655206342,HOLD,
GOOGL.US_9,166.31,166.3,163.05,167.87,100,210,0.01,1714758099919,2024-05-03 18:41:39.919,44.557203931860705,HOLD,
GOOGL.US_9,166.32,166.31,163.05,167.87,20,200,0.01,1714758102920,2024-05-03 18:41:42.920,51.73291863647913,HOLD,
GOOGL.US_9,166.33,166.31,163.05,167.87,110,185,0.02,1714758105922,2024-05-03 18:41:45.922,57.86755992659651,HOLD,
GOOGL.US_9,166.33,166.32,163.05,167.87,110,10,0.01,1714758111925,2024-05-03 18:41:51.925,57.8675599265965,HOLD,
GOOGL.US_9,166.34,166.33,163.05,167.87,12,10,0.01,1714758116429,2024-05-03 18:41:56.429,63.70578214658466,HOLD,
GOOGL.US_9,166.35,166.33,163.05,167.87,2200,10,0.02,1714758118430,2024-05-03 18:41:58.430,68.60061312599713,HOLD,
GOOGL.US_9,166.37,166.35,163.05,167.87,400,230,0.02,1714758119430,2024-05-03 18:41:59.430,75.9104987906432,SELL,166.35
GOOGL.US_9,166.37,166.36,163.05,167.87,200,100,0.01,1714758120933,2024-05-03 18:42:00.933,75.9104987906432,HOLD,
GOOGL.US_9,166.38,166.35,163.05,167.87,110,131,0.03,1714758127437,2024-05-03 18:42:07.437,79.00369418743925,HOLD,
GOOGL.US_9,166.37,166.35,163.05,167.87,100,194,0.02,1714758128437,2024-05-03 18:42:08.437,69.03172764958171,HOLD,
GOOGL.US_9,166.36,166.35,163.05,167.87,110,494,0.01,1714758129438,2024-05-03 18:42:09.438,60.44813945327663,HOLD,
GOOGL.US_9,166.37,166.35,163.05,167.87,100,607,0.02,1714758137444,2024-05-03 18:42:17.444,65.30190000833413,HOLD,
GOOGL.US_9,166.4,166.38,163.05,167.87,156,73,0.02,1714758144449,2024-05-03 18:42:24.449,75.46409110979842,SELL,166.38
GOOGL.US_9,166.39,166.37,163.05,167.87,110,76,0.02,1714758145451,2024-05-03 18:42:25.451,67.99620624502418,HOLD,
GOOGL.US_9,166.39,166.36,163.05,167.87,210,400,0.03,1714758150454,2024-05-03 18:42:30.454,67.99620624502418,HOLD,
GOOGL.US_9,166.39,166.37,163.05,167.87,110,210,0.02,1714758151956,2024-05-03 18:42:31.956,67.99620624502418,HOLD,
GOOGL.US_9,166.39,166.38,163.05,167.87,100,120,0.01,1714758152956,2024-05-03 18:42:32.956,67.99620624502418,HOLD,
GOOGL.US_9,166.39,166.36,163.05,167.87,120,400,0.03,1714758161462,2024-05-03 18:42:41.462,67.99620624502418,HOLD,
GOOGL.US_9,166.38,166.35,163.05,167.87,210,406,0.03,1714758162963,2024-05-03 18:42:42.963,57.70566273488939,HOLD,
GOOGL.US_9,166.37,166.36,163.05,167.87,100,110,0.01,1714758164463,2024-05-03 18:42:44.463,49.31022842954769,HOLD,
GOOGL.US_9,166.39,166.38,163.05,167.87,20,100,0.01,1714758165464,2024-05-03 18:42:45.464,61.81118908937811,HOLD,
GOOGL.US_9,166.39,166.37,163.05,167.87,10,310,0.02,1714758166465,2024-05-03 18:42:46.465,61.81118908937811,HOLD,
GOOGL.US_9,166.38,166.37,163.05,167.87,100,129,0.01,1714758167465,2024-05-03 18:42:47.465,53.46700360295168,HOLD,
GOOGL.US_9,166.38,166.36,163.05,167.87,100,101,0.02,1714758168966,2024-05-03 18:42:48.966,53.467003602951664,HOLD,
GOOGL.US_9,166.35,166.34,163.05,167.87,100,200,0.01,1714758171468,2024-05-03 18:42:51.468,35.348725795579455,HOLD,
GOOGL.US_9,166.36,166.34,163.05,167.87,113,10,0.02,1714758173470,2024-05-03 18:42:53.470,42.638034751872375,HOLD,
GOOGL.US_9,166.35,166.34,163.05,167.87,100,100,0.01,1714758174471,2024-05-03 18:42:54.471,37.83853370868275,HOLD,
GOOGL.US_9,166.36,166.33,163.05,167.87,113,120,0.03,1714758175471,2024-05-03 18:42:55.471,44.8255170191414,HOLD,
GOOGL.US_9,166.35,166.33,163.05,167.87,100,120,0.02,1714758176972,2024-05-03 18:42:56.972,39.79359241265269,HOLD,
GOOGL.US_9,166.37,166.34,163.05,167.87,210,100,0.03,1714758178473,2024-05-03 18:42:58.473,51.93391186365679,HOLD,
GOOGL.US_9,166.35,166.33,163.05,167.87,100,121,0.02,1714758183478,2024-05-03 18:43:03.478,42.33108096165341,HOLD,
GOOGL.US_9,166.34,166.33,163.05,167.87,10,10,0.01,1714758185479,2024-05-03 18:43:05.479,38.343059098642236,HOLD,
GOOGL.US_9,166.35,166.32,163.05,167.87,210,112,0.03,1714758186980,2024-05-03 18:43:06.980,44.251635126118536,HOLD,
GOOGL.US_9,166.35,166.33,163.05,167.87,110,20,0.02,1714758190983,2024-05-03 18:43:10.983,44.251635126118536,HOLD,
GOOGL.US_9,166.35,166.34,163.05,167.87,100,100,0.01,1714758193485,2024-05-03 18:43:13.485,44.25163512611854,HOLD,
GOOGL.US_9,166.35,166.33,163.05,167.87,200,110,0.02,1714758194487,2024-05-03 18:43:14.487,44.25163512611855,HOLD,
GOOGL.US_9,166.34,166.33,163.05,167.87,120,10,0.01,1714758195988,2024-05-03 18:43:15.988,38.36289584046301,HOLD,
GOOGL.US_9,166.36,166.33,163.05,167.87,110,120,0.03,1714758198991,2024-05-03 18:43:18.991,52.565546974497096,HOLD,
GOOGL.US_9,166.37,166.34,163.05,167.87,310,100,0.03,1714758199992,2024-05-03 18:43:19.992,58.0082395236235,HOLD,
GOOGL.US_9,166.35,166.33,163.05,167.87,100,120,0.02,1714758201492,2024-05-03 18:43:21.492,46.10532072588032,HOLD,
GOOGL.US_9,166.36,166.33,163.05,167.87,20,120,0.03,1714758202493,2024-05-03 18:43:22.493,51.682225567863924,HOLD,
GOOGL.US_9,166.35,166.33,163.05,167.87,100,21,0.02,1714758204995,2024-05-03 18:43:24.995,46.29312416231473,HOLD,
GOOGL.US_9,166.36,166.33,163.05,167.87,120,120,0.03,1714758208997,2024-05-03 18:43:28.997,51.93189763894942,HOLD,
GOOGL.US_9,166.37,166.34,163.05,167.87,210,310,0.03,1714758210498,2024-05-03 18:43:30.498,57.0097205307649,HOLD,
GOOGL.US_9,166.37,166.35,163.05,167.87,86,210,0.02,1714758212000,2024-05-03 18:43:32,57.0097205307649,HOLD,
GOOGL.US_9,166.39,166.38,163.05,167.87,710,10,0.01,1714758213000,2024-05-03 18:43:33,66.07984818982946,HOLD,
