symbol,ask,bid,low,high,askVolume,bidVolume,spreadRaw,timestamp,datetime,rsiM1,signal,signal_price
PLTR.US_9,23.11,23.1,22.91,23.48,1236,200,0.01,1714757058671,2024-05-03 18:24:18.671,,HOLD,
PLTR.US_9,23.11,23.09,22.91,23.48,2836,804,0.02,1714757074681,2024-05-03 18:24:34.681,,HOLD,
PLTR.US_9,23.1,23.09,22.91,23.48,300,911,0.01,1714757076182,2024-05-03 18:24:36.182,,HOLD,
PLTR.US_9,23.1,23.08,22.91,23.48,1507,1100,0.02,1714757082185,2024-05-03 18:24:42.185,,HOLD,
PLTR.US_9,23.09,23.07,22.91,23.48,1000,1100,0.02,1714757102200,2024-05-03 18:25:02.200,,HOLD,
PLTR.US_9,23.08,23.06,22.91,23.48,700,1500,0.02,1714757109706,2024-05-03 18:25:09.706,,HOLD,
PLTR.US_9,23.07,23.06,22.91,23.48,200,900,0.01,1714757114711,2024-05-03 18:25:14.711,,HOLD,
PLTR.US_9,23.08,23.06,22.91,23.48,2900,900,0.02,1714757119716,2024-05-03 18:25:19.716,,HOLD,
PLTR.US_9,23.07,23.05,22.91,23.48,2055,970,0.02,1714757123219,2024-05-03 18:25:23.219,,HOLD,
PLTR.US_9,23.07,23.06,22.91,23.48,1769,200,0.01,1714757135229,2024-05-03 18:25:35.229,,HOLD,
PLTR.US_9,23.07,23.05,22.91,23.48,1469,770,0.02,1714757141233,2024-05-03 18:25:41.233,,HOLD,
PLTR.US_9,23.08,23.06,22.91,23.48,1600,1000,0.02,1714757156242,2024-05-03 18:25:56.242,36.932655702757444,HOLD,
PLTR.US_9,23.08,23.07,22.91,23.48,1042,200,0.01,1714757168752,2024-05-03 18:26:08.752,36.932655702757444,HOLD,
PLTR.US_9,23.08,23.06,22.91,23.48,1042,1304,0.02,1714757169753,2024-05-03 18:26:09.753,36.932655702757444,HOLD,
PLTR.US_9,23.08,23.07,22.91,23.48,1042,200,0.01,1714757170755,2024-05-03 18:26:10.755,36.932655702757444,HOLD,
PLTR.US_9,23.08,23.06,22.91,23.48,942,1204,0.02,1714757175760,2024-05-03 18:26:15.760,36.93265570275745,HOLD,
PLTR.US_9,23.09,23.07,22.91,23.48,880,888,0.02,1714757205282,2024-05-03 18:26:45.282,53.40136519103602,HOLD,
PLTR.US_9,23.1,23.08,22.91,23.48,1700,1754,0.02,1714757206782,2024-05-03 18:26:46.782,63.79962713963473,HOLD,
PLTR.US_9,23.09,23.07,22.91,23.48,768,806,0.02,1714757222793,2024-05-03 18:27:02.793,51.22576490862684,HOLD,
PLTR.US_9,23.09,23.08,22.91,23.48,1068,200,0.01,1714757224294,2024-05-03 18:27:04.294,51.22576490862685,HOLD,
PLTR.US_9,23.1,23.08,22.91,23.48,800,567,0.02,1714757227798,2024-05-03 18:27:07.798,60.61738431726717,HOLD,
PLTR.US_9,23.11,23.09,22.91,23.48,2684,1100,0.02,1714757230801,2024-05-03 18:27:10.801,67.5009487943489,HOLD,
PLTR.US_9,23.1,23.08,22.91,23.48,725,704,0.02,1714757246813,2024-05-03 18:27:26.813,56.615699283927476,HOLD,
PLTR.US_9,23.09,23.07,22.91,23.48,1600,906,0.02,1714757263825,2024-05-03 18:27:43.825,48.08589777682482,HOLD,
PLTR.US_9,23.07,23.05,22.91,23.48,999,951,0.02,1714757292351,2024-05-03 18:28:12.351,36.11529754804934,HOLD,
PLTR.US_9,23.08,23.06,22.91,23.48,800,1200,0.02,1714757299852,2024-05-03 18:28:19.852,43.8088794391374,HOLD,
PLTR.US_9,23.08,23.07,22.91,23.48,580,200,0.01,1714757304856,2024-05-03 18:28:24.856,43.8088794391374,HOLD,
PLTR.US_9,23.08,23.06,22.91,23.48,480,800,0.02,1714757308859,2024-05-03 18:28:28.859,43.80887943913739,HOLD,
PLTR.US_9,23.09,23.07,22.91,23.48,3700,325,0.02,1714757326872,2024-05-03 18:28:46.872,51.57153726910772,HOLD,
PLTR.US_9,23.1,23.08,22.91,23.48,1204,1227,0.02,1714757337379,2024-05-03 18:28:57.379,57.96002269701836,HOLD,
PLTR.US_9,23.09,23.07,22.91,23.48,3110,900,0.02,1714757360899,2024-05-03 18:29:20.899,50.61535431847008,HOLD,
PLTR.US_9,23.09,23.08,22.91,23.48,800,200,0.01,1714757389419,2024-05-03 18:29:49.419,50.61535431847008,HOLD,
PLTR.US_9,23.09,23.07,22.91,23.48,900,900,0.02,1714757391421,2024-05-03 18:29:51.421,50.615354318470075,HOLD,
PLTR.US_9,23.09,23.08,22.91,23.48,900,200,0.01,1714757392422,2024-05-03 18:29:52.422,50.61535431847008,HOLD,
PLTR.US_9,23.09,23.07,22.91,23.48,1000,700,0.02,1714757397926,2024-05-03 18:29:57.926,50.615354318470075,HOLD,
PLTR.US_9,23.1,23.08,22.91,23.48,910,900,0.02,1714757410937,2024-05-03 18:30:10.937,58.98568367737037,HOLD,
PLTR.US_9,23.09,23.07,22.91,23.48,1596,2000,0.02,1714757481986,2024-05-03 18:31:21.986,49.71645774398126,HOLD,
PLTR.US_9,23.1,23.08,22.91,23.48,910,1000,0.02,1714757497999,2024-05-03 18:31:37.999,57.12734075991269,HOLD,
PLTR.US_9,23.11,23.09,22.91,23.48,760,1400,0.02,1714757514010,2024-05-03 18:31:54.010,63.10823605898857,HOLD,
PLTR.US_9,23.11,23.1,22.91,23.48,760,200,0.01,1714757516011,2024-05-03 18:31:56.011,63.108236058988574,HOLD,
